chromosome,population,genetic_map,total_clades,clade_num,clade_id,nlog10p,nlog10p_event,cladesize,duration,start,end,mut_duration,event_duration,left_mut,right_mut,num_mutations,merged,chunk_index,tree_index,node_id,band
chr6,AMR,HapMapII_GRCh37,12515470,4887539,22592,27.42016119,64.09710843,339,222358,57355607,57577965,220920,264,57356646,57577566,60,7,43,813,686103,6p11.2
chr6,AMR,HapMapII_GRCh37,12515470,4888483,22597,30.02196764,54.69059517,353,205795,57367001,57572797,199631,243,57367413,57567044,16,10,43,818,691172,6p11.2
chr6,AMR,HapMapII_GRCh37,12515470,8314539,44926,15.91573501,13.5900385,352,148322,121380134,121528456,125551,70,121381377,121506928,12,12,79,909,690381,6q22.31-2
chr6,EAS,HapMapII_GRCh37,16736991,4803764,10818,10.59844595,15.75112719,716,193112,37936486,38129599,192536,91,37936506,38129042,43,15,31,276,1005468,6p21.2
chr6,EAS,HapMapII_GRCh37,16736991,5614814,12601,11.42451222,14.78980682,26,496759,44848169,45344928,495161,234,44849693,45344854,142,11,36,453,1004800,6p21.1
chr6,EAS,HapMapII_GRCh37,16736991,5621967,12628,12.43063168,14.57019368,244,339726,45009722,45349448,325739,149,45021905,45347644,92,2,36,536,998639,6p21.1
chr6,EAS,HapMapII_GRCh37,16736991,5622196,12634,19.30292965,24.84889893,731,330751,45014177,45344928,239222,115,45088179,45327401,35,15,36,538,1005902,6p21.1
chr6,EAS,HapMapII_GRCh37,16736991,5622728,12636,19.27752608,23.48162429,734,321218,45023710,45344928,317140,144,45024911,45342051,33,24,36,543,1004063,6p21.1
chr6,EAS,HapMapII_GRCh37,16736991,5623494,12638,18.60277393,25.34566872,735,268220,45048004,45316224,268152,133,45048050,45316202,39,20,36,550,1006172,6p21.1
chr6,EAS,HapMapII_GRCh37,16736991,5629731,12649,10.91145758,16.24510021,761,209413,45135515,45344928,190515,92,45136347,45326862,17,8,36,594,1006773,6p21.1
chr6,EAS,HapMapII_GRCh37,16736991,6609407,15754,12.36865011,20.3187217,75,272442,57341394,57613836,262924,290,57343992,57606916,62,8,43,800,1002769,6p11.2
chr6,EAS,HapMapII_GRCh37,16736991,6609408,15755,22.8991527,37.96589388,300,172926,57341394,57514320,167385,218,57344762,57512147,17,8,43,800,1004188,6p11.2
chr6,EAS,HapMapII_GRCh37,16736991,6642227,15760,16.23080937,34.14972791,553,103554,57422559,57526113,93002,135,57429437,57522439,12,3,43,888,1004145,6p11.2
chr6,EAS,HapMapII_GRCh37,16736991,6722493,15885,12.42990545,10.66813041,98,4188836,57935672,62124508,4181595,322,57935908,62117503,48,2,44,283,962187,6p11.1
chr6,EAS,HapMapII_GRCh37,16736991,6752074,15990,14.93390296,30.4909719,84,378908,61992049,62370957,367873,190,61993230,62361103,54,4,44,510,1006512,6q11.1
chr6,EAS,HapMapII_GRCh37,16736991,7911406,20530,15.6343464,20.84788878,294,231752,78400750,78632502,227303,160,78404114,78631417,39,7,54,263,1000085,6q14.1
chr6,EAS,HapMapII_GRCh37,16736991,7911541,20537,20.48958221,25.76443627,376,228200,78404301,78632502,175263,122,78451006,78626269,52,18,54,265,1004830,6q14.1
chr6,EAS,HapMapII_GRCh37,16736991,7912898,20548,22.63897477,20.14899092,632,188575,78443926,78632502,181384,127,78443941,78625325,17,14,54,296,1007095,6q14.1
chr6,EAS,HapMapII_GRCh37,16736991,7916392,20566,10.92329718,11.04010409,383,86906,78545595,78632502,84911,47,78547147,78632058,15,3,54,377,1004070,6q14.1
chr6,EAS,HapMapII_GRCh37,16736991,15354776,41937,16.69311914,10.70631935,498,78277,162954716,163032993,72724,67,162958851,163031575,11,6,109,450,1004256,6q26
chr6,EUR,HapMapII_GRCh37,14807066,5014055,14536,10.82006047,18.67232015,551,152451,45163773,45316224,150977,71,45165225,45316202,25,12,36,611,1004197,6p21.1
chr6,EUR,HapMapII_GRCh37,14807066,5014458,14540,11.57764907,14.94858059,508,177165,45172283,45349448,168194,70,45173857,45342051,18,8,36,616,1002554,6p21.1
chr6,EUR,HapMapII_GRCh37,14807066,5202391,15162,10.80000424,10.46529392,313,147207,47447875,47595082,146115,48,47447887,47594002,45,7,38,72,1003931,6p12.3
chr6,EUR,HapMapII_GRCh37,14807066,5871679,18353,17.71831156,17.54695894,218,112438,57317912,57430350,107661,106,57322640,57430301,19,6,43,780,1003375,6p11.2
chr6,EUR,HapMapII_GRCh37,14807066,5878622,18369,24.87745565,49.61626676,412,170506,57355607,57526113,165793,214,57356646,57522439,34,3,43,813,999726,6p11.2
chr6,EUR,HapMapII_GRCh37,14807066,5878888,18370,31.03984994,49.74258471,594,166702,57356957,57523659,154314,209,57367413,57521727,11,9,43,814,1005525,6p11.2
chr6,EUR,HapMapII_GRCh37,14807066,5990572,18515,15.51496689,16.09504521,61,4797369,57708601,62505970,4697675,563,57765306,62462981,164,8,44,146,972909,6p11.1
chr6,EUR,HapMapII_GRCh37,14807066,5996931,18554,22.83289073,19.75002142,966,4250901,57843573,62094474,4152288,294,57843574,61995862,10,6,44,217,1004717,6p11.1
chr6,EUR,HapMapII_GRCh37,14807066,6014951,18610,13.41167178,27.89580374,489,228461,58432834,58661295,204517,113,58442252,58646769,63,10,44,374,1002725,6p11.2-2
chr6,EUR,HapMapII_GRCh37,14807066,7058989,24004,17.61385185,14.00318489,901,185392,78444795,78630187,180187,126,78445138,78625325,13,11,54,297,1005093,6q14.1
chr6,EUR,HapMapII_GRCh37,14807066,7059552,24008,15.93120453,18.30174823,376,142498,78463160,78605658,131248,89,78463168,78594416,15,6,54,315,1001586,6q14.1
chr6,EUR,HapMapII_GRCh37,14807066,7060371,24016,16.28369407,16.94666722,378,139461,78490726,78630187,133373,94,78492538,78625911,20,7,54,329,1001142,6q14.1
chr6,EUR,HapMapII_GRCh37,14807066,9164959,33363,10.80648221,15.38177004,357,194929,109807207,110002137,170069,72,109807239,109977308,12,10,73,637,1002655,6q21
chr6,EUR,HapMapII_GRCh37,14807066,9165377,33369,12.59460835,17.37698443,412,200219,109812089,110012308,199320,78,109812138,110011458,54,10,73,641,1003524,6q21
chr6,SAS,HapMapII_GRCh37,17688800,6112850,15608,12.41070952,10.69606826,304,147207,47447875,47595082,146115,48,47447887,47594002,43,7,38,72,976014,6p12.3
chr6,SAS,HapMapII_GRCh37,17688800,6911364,19094,19.8547081,27.1935861,116,256602,57317174,57573777,243599,272,57323191,57566790,35,13,43,779,971122,6p11.2
chr6,SAS,HapMapII_GRCh37,17688800,6913718,19103,16.44531184,18.95038283,115,251481,57321623,57573104,248340,275,57322640,57570980,17,10,43,786,973572,6p11.2
chr6,SAS,HapMapII_GRCh37,17688800,6919263,19110,16.23978868,30.61155063,277,278836,57354992,57633828,271248,288,57361621,57632869,54,12,43,812,955179,6p11.2
chr6,SAS,HapMapII_GRCh37,17688800,6921280,19114,13.41414025,26.36389045,237,283710,57369993,57653703,222052,222,57427243,57649295,60,12,43,819,963228,6p11.2
chr6,SAS,HapMapII_GRCh37,17688800,6946656,19116,14.77575139,30.71886773,325,161812,57416152,57577965,161092,200,57416474,57577566,44,7,43,877,963805,6p11.2
chr6,SAS,HapMapII_GRCh37,17688800,7085187,19508,11.80916713,13.11643811,406,112790,62257609,62370399,108887,60,62260098,62368985,59,6,44,645,974347,6q11.1
chr6,SAS,HapMapII_GRCh37,17688800,10867840,35623,11.72074554,17.94020092,452,186598,109845004,110031602,175027,64,109852916,110027943,45,11,73,657,974729,6q21
chr6,SAS,HapMapII_GRCh37,17688800,11671800,39415,14.15295575,10.49570772,805,163621,121495532,121659154,161448,92,121496010,121657458,14,9,79,972,971776,6q22.31-2
chr7,AFR,HapMapII_GRCh37,17304856,7628690,38400,1.413619658,1.113655208,84,49635,66375070,66424705,34088,12,66385730,66419818,5,3,52,435,1317722,7q11.21
chr7,AMR,HapMapII_GRCh37,12622030,5506886,24024,10.8565709,18.00151936,96,445554,65986450,66432004,424730,173,65986467,66411197,43,27,52,274,689969,7q11.21
chr7,EAS,HapMapII_GRCh37,16817289,7357826,16367,0.369336706,1.55102841,215,77845,66192550,66270395,20828,13,66215300,66236128,3,5,52,390,1001786,7q11.21
chr7,EUR,HapMapII_GRCh37,15091572,3767003,8778,10.5752687,12.32580391,557,103115,26715745,26818861,97565,60,26716458,26814023,31,7,29,496,1000848,7p15.2
chr7,EUR,HapMapII_GRCh37,15091572,3767005,8780,10.78726232,14.53165493,558,103115,26715745,26818861,90328,58,26726320,26816648,19,11,29,496,1003787,7p15.2
chr7,EUR,HapMapII_GRCh37,15091572,6577651,19114,12.30654228,22.37354867,126,445554,65986450,66432004,424730,173,65986467,66411197,44,24,52,274,1002794,7q11.21
chr7,SAS,HapMapII_GRCh37,17894189,799630,1283,31.74410179,15.02800398,956,307490,3395595,3703085,306725,322,3395603,3702328,32,26,4,351,977300,7p22.2
chr7,SAS,HapMapII_GRCh37,17894189,802107,1296,28.187571,18.16687069,953,235073,3427469,3662542,234244,243,3427935,3662179,21,9,4,383,977219,7p22.2
chr7,SAS,HapMapII_GRCh37,17894189,7875744,20619,0.148294986,0.315378881,113,121171,66230966,66352137,11033,5,66339084,66350117,3,1,52,410,973509,7q11.21
chr7,SAS,HapMapII_GRCh37,17894189,7901773,20686,11.09677345,12.26411579,311,64832,66568235,66633067,61713,67,66571111,66632824,31,1,52,594,974093,7q11.21-2
chr7,SAS,HapMapII_GRCh37,17894189,7901776,20687,13.17287892,15.21582334,667,64832,66568235,66633067,64729,70,66568247,66632976,29,4,52,594,976609,7q11.21-2
chr7,SAS,HapMapII_GRCh37,17894189,8994894,23641,12.42358604,11.4228179,965,418292,77174114,77592406,401854,177,77179188,77581042,33,17,59,104,976930,7q11.23
chr8,AFR,HapMapII_GRCh37,16004417,11616245,66290,11.95315108,14.20181683,783,184156,104531375,104715531,174235,64,104531387,104705622,26,11,81,553,1319467,8q22.3
chr8,EAS,HapMapII_GRCh37,15637816,6633536,11545,34.24154466,17.47857872,150,217904,39223634,39441538,214743,174,39224178,39438921,11,1,44,316,996923,8p11.22
chr8,EAS,HapMapII_GRCh37,15637816,8815770,18243,11.71444889,13.81964994,992,479360,71509494,71988854,458844,199,71529266,71988110,19,7,61,8,1007040,8q13.3
chr8,EUR,HapMapII_GRCh37,13869307,7790197,21567,10.55848624,15.14894831,826,242778,71018410,71261188,230700,81,71029632,71260332,32,17,60,786,1002613,8q13.3-2
chr8,EUR,HapMapII_GRCh37,13869307,7813556,21684,21.28945705,25.77235624,325,335081,71585912,71920993,324511,145,71595059,71919570,22,8,61,39,1001949,8q13.3
chr8,SAS,HapMapII_GRCh37,16665562,7292274,16273,15.82594612,19.78323173,965,4858237,42900493,47758730,4855314,469,42902077,47757391,49,24,46,823,976607,8p11.1
chr8,SAS,HapMapII_GRCh37,16665562,14448497,41644,12.02395183,11.22493391,207,161837,131196682,131358520,139236,66,131200745,131339981,16,6,97,986,974657,8q24.21
chr9,AFR,HapMapII_GRCh37,14349656,5166878,21075,21.13543099,12.73777299,71,256445,30465021,30721467,249610,149,30465070,30714680,81,5,35,135,1312925,9p21.1-1
chr9,AFR,HapMapII_GRCh37,14349656,5759583,24861,12.07311545,10.46645904,347,213676,37125069,37338746,201145,78,37129354,37330499,15,5,39,617,1310068,9p13.2
chr9,AMR,HapMapII_GRCh37,10326560,3761071,12890,16.77862346,13.96482808,405,158740,30575226,30733966,148455,74,30575524,30723979,67,5,35,213,685533,9p21.1-1
chr9,AMR,HapMapII_GRCh37,10326560,3836343,13528,25.41941209,10.61445136,345,126787,31980697,32107484,123913,85,31981125,32105038,107,4,36,215,692026,9p21.1-2
chr9,EAS,HapMapII_GRCh37,13959808,5229148,8825,10.66935715,11.85674527,690,107648,31949434,32057082,107489,85,31949465,32056954,13,12,36,186,1005878,9p21.1-2
chr9,EAS,HapMapII_GRCh37,13959808,5230207,8832,12.5375233,14.56829672,567,86187,31972300,32058487,84342,60,31973636,32057978,79,9,36,211,1006418,9p21.1-2
chr9,EUR,HapMapII_GRCh37,12356320,4555330,10493,12.1265784,12.00024834,626,73804,31968743,32042547,73377,48,31968747,32042124,17,8,36,208,1005002,9p21.1-2
chr9,SAS,HapMapII_GRCh37,14758037,5463109,11446,14.97964535,15.60814945,263,132361,31941622,32073983,122555,99,31949468,32072023,93,0,36,183,968346,9p21.1-2
chr9,SAS,HapMapII_GRCh37,14758037,5463367,11449,13.22440188,12.77730868,715,107648,31949434,32057082,107489,85,31949465,32056954,12,11,36,186,975571,9p21.1-2
chr9,SAS,HapMapII_GRCh37,14758037,5464549,11461,11.98528048,13.38018744,628,89743,31968743,32058487,82846,58,31973636,32056482,78,12,36,208,976438,9p21.1-2
